GPS_ID,Tag_Number,Max_PDOP,Corr_Type,GPS_Date,GPS_Time,Unfilt_Pos,Filt_Pos,Std_Dev,Point_ID
28,1083,1.3,Real-time SBAS Corrected,9/23/2022,01:06:36pm,33,33,0.482651,3
29,1080,1.3,Real-time SBAS Corrected,9/23/2022,01:08:52pm,25,25,0.38703,4
30,1081,1.2,Real-time SBAS Corrected,9/23/2022,01:10:26pm,23,23,0.597605,5
31,1079,1.1,Real-time SBAS Corrected,9/23/2022,01:11:52pm,11,11,0.324718,6
32,1082,1.2,Real-time SBAS Corrected,9/23/2022,01:12:57pm,10,10,0.397424,7
33,1078,1.1,Real-time SBAS Corrected,9/23/2022,01:13:54pm,13,13,0.583209,8
34,1077,1.3,Real-time SBAS Corrected,9/23/2022,01:15:08pm,19,19,0.945573,9
35,1076,1.2,Real-time SBAS Corrected,9/23/2022,01:16:32pm,17,17,0.435705,10
36,1075,1.1,Real-time SBAS Corrected,9/23/2022,01:17:47pm,10,10,0.342387,11
37,1002,1.2,Real-time SBAS Corrected,9/23/2022,01:20:00pm,10,10,0.553643,12
38,1001,2.3,Real-time SBAS Corrected,9/23/2022,01:21:10pm,25,25,0.827025,13
39,1003,1.3,Real-time SBAS Corrected,9/23/2022,01:22:49pm,11,11,0.277631,14
40,1004,1.4,Real-time SBAS Corrected,9/23/2022,01:23:43pm,15,15,0.464292,15
41,1005,1.3,Real-time SBAS Corrected,9/23/2022,01:24:58pm,10,10,0.228223,16
42,1006,1.2,Real-time SBAS Corrected,9/23/2022,01:25:48pm,13,13,0.48634,17
43,1007,2.2,Real-time SBAS Corrected,9/23/2022,01:30:08pm,18,18,1.189426,18
44,1008,2.1,Real-time SBAS Corrected,9/23/2022,01:31:52pm,68,68,0.857627,19
45,1011,2.1,Real-time SBAS Corrected,9/23/2022,01:41:16pm,18,18,0.927124,20
46,1012,2.8,Real-time SBAS Corrected,9/23/2022,01:43:31pm,13,13,1.42382,21
47,1013,1.6,Real-time SBAS Corrected,9/23/2022,01:45:26pm,11,11,0.320419,22
48,1014,2.1,Uncorrected,9/23/2022,01:48:11pm,70,70,1.44752,23
49,1019,1.3,Uncorrected,9/23/2022,01:57:27pm,21,21,1.090368,24
50,9999,1.1,Real-time SBAS Corrected,10/20/2022,04:37:12pm,40,40,1.053492,1
51,376,1.3,Real-time SBAS Corrected,10/20/2022,04:40:08pm,20,20,1.177197,2
52,375,1.1,Real-time SBAS Corrected,10/20/2022,04:42:45pm,13,13,1.18148,3
53,385,1.4,Real-time SBAS Corrected,10/20/2022,04:44:40pm,17,17,0.759953,4
54,388,1,Real-time SBAS Corrected,10/20/2022,04:46:43pm,10,10,0.374034,5
55,388,1.1,Real-time SBAS Corrected,10/20/2022,04:48:11pm,8,8,0.288316,6
56,389,1.1,Real-time SBAS Corrected,10/20/2022,04:50:15pm,15,15,0.554828,7
57,387,1.1,Real-time SBAS Corrected,10/20/2022,04:52:15pm,34,34,2.210633,8
58,390,1,Real-time SBAS Corrected,10/20/2022,04:54:57pm,12,12,0.670408,9
59,360,1.2,Real-time SBAS Corrected,10/20/2022,04:56:50pm,15,15,0.315877,10
60,357,1.4,Real-time SBAS Corrected,10/20/2022,04:58:27pm,15,15,0.680322,11
61,356,1.5,Real-time SBAS Corrected,10/20/2022,04:59:46pm,27,27,1.07498,12
62,355,1.1,Real-time SBAS Corrected,10/20/2022,05:02:41pm,10,10,0.190987,13
63,354,1,Real-time SBAS Corrected,10/20/2022,05:03:58pm,15,15,0.350282,14
64,353,1.2,Real-time SBAS Corrected,10/20/2022,05:05:07pm,11,11,0.227343,15
65,1141,1.8,Real-time SBAS Corrected,10/20/2022,05:06:41pm,13,13,0.530058,16
66,1142,1.3,Real-time SBAS Corrected,10/20/2022,05:08:45pm,11,11,0.192578,17
67,1143,2.2,Uncorrected,10/20/2022,05:10:32pm,34,34,1.004296,18
68,1144,1.5,Uncorrected,10/20/2022,05:12:54pm,43,43,1.29359,19
69,1145,1.3,Uncorrected,10/20/2022,05:15:28pm,34,34,1.01461,20
70,1148,1.5,Uncorrected,10/20/2022,05:18:15pm,30,30,1.994648,21
71,1147,1.6,Uncorrected,10/20/2022,05:20:06pm,48,48,1.962979,22
72,1148,1.8,Uncorrected,10/20/2022,05:23:18pm,50,50,1.138065,23
73,1149,1.4,Uncorrected,10/20/2022,05:26:18pm,14,14,0.408767,24
74,1151,1.2,Real-time SBAS Corrected,10/20/2022,05:27:58pm,17,17,0.480567,25
75,1152,1.5,Real-time SBAS Corrected,10/20/2022,05:29:51pm,15,15,0.55872,26
76,9999,1.5,Real-time SBAS Corrected,10/20/2022,05:30:49pm,15,15,0.148758,27
77,9999,1.2,Real-time SBAS Corrected,10/20/2022,05:31:52pm,11,11,0.192915,28
78,1173,1.5,Real-time SBAS Corrected,10/20/2022,05:32:53pm,18,18,0.591722,29
79,1172,1.1,Real-time SBAS Corrected,10/20/2022,05:34:29pm,11,11,0.368359,30
80,1104,1.7,Real-time SBAS Corrected,10/1/2022,10:14:27am,16,16,1.575357,1
81,1105,3.1,Real-time SBAS Corrected,10/1/2022,10:16:08am,11,11,0.548539,2
82,1106,1.7,Real-time SBAS Corrected,10/1/2022,10:17:53am,12,12,0.102682,3
83,1107,2.4,Real-time SBAS Corrected,10/1/2022,10:18:53am,29,29,0.575617,4
84,1115,2.2,Real-time SBAS Corrected,10/1/2022,10:22:20am,13,13,1.353209,5
85,1120,1.3,Real-time SBAS Corrected,10/1/2022,10:24:31am,11,11,0.484165,6
86,1121,1.2,Real-time SBAS Corrected,10/1/2022,10:26:57am,12,12,1.574447,7
87,1122,1.4,Real-time SBAS Corrected,10/1/2022,10:29:59am,11,11,3.276299,8
88,1123,1.7,Real-time SBAS Corrected,10/1/2022,10:33:27am,11,11,0.535307,9
89,1125,1.2,Real-time SBAS Corrected,10/1/2022,10:35:29am,11,11,0.155357,10
90,1119,1.5,Uncorrected,10/1/2022,10:38:18am,25,25,0.337092,11
91,1118,1.2,Real-time SBAS Corrected,10/1/2022,10:41:03am,12,12,0.402922,12
92,1117,1.2,Real-time SBAS Corrected,10/1/2022,10:42:59am,12,12,0.550395,13
93,1124,1.2,Real-time SBAS Corrected,10/1/2022,10:45:14am,11,11,0.246465,14
94,1224,1.2,Real-time SBAS Corrected,10/1/2022,10:49:18am,11,11,0.210393,15
95,1190,1.2,Real-time SBAS Corrected,10/1/2022,10:52:14am,10,10,0.328177,16
96,9999,1.1,Real-time SBAS Corrected,10/1/2022,10:55:21am,13,13,0.393962,17
97,9999,1.2,Real-time SBAS Corrected,10/1/2022,11:03:49am,25,25,0.31718,18
98,9999,1.2,Real-time SBAS Corrected,10/1/2022,11:06:59am,18,18,0.424704,19
99,9999,1.3,Real-time SBAS Corrected,10/1/2022,11:10:15am,34,34,0.607423,20
100,9999,1.7,Real-time SBAS Corrected,10/1/2022,11:18:26am,28,28,0.495869,21
101,1196,1.5,Uncorrected,10/1/2022,11:22:16am,54,54,2.211139,22
102,1219,1.2,Real-time SBAS Corrected,10/1/2022,11:27:55am,26,26,1.068282,23
103,1218,1.1,Real-time SBAS Corrected,10/1/2022,11:30:14am,11,11,0.504314,24
104,1217,1.4,Real-time SBAS Corrected,10/1/2022,11:35:50am,10,10,0.98105,25
105,1225,1.3,Real-time SBAS Corrected,10/1/2022,11:37:30am,14,14,0.23706,26
106,9999,1.5,Real-time SBAS Corrected,10/1/2022,11:39:47am,30,30,0.288369,27
107,1228,1.1,Real-time SBAS Corrected,10/1/2022,11:42:50am,10,10,0.143606,28
108,1229,1.7,Real-time SBAS Corrected,10/1/2022,11:43:59am,22,22,0.39016,29
109,1232,1.3,Real-time SBAS Corrected,10/1/2022,11:47:22am,12,12,0.61377,30
110,1230,1.5,Real-time SBAS Corrected,10/1/2022,11:48:59am,11,11,0.291291,31
111,1231,1.1,Real-time SBAS Corrected,10/1/2022,11:50:35am,26,26,0.318736,32
112,607,3,Real-time SBAS Corrected,11/2/2022,02:49:31pm,12,12,0.610577,1
113,610,2.1,Real-time SBAS Corrected,11/2/2022,02:50:51pm,14,14,0.630541,2
114,608,2.3,Real-time SBAS Corrected,11/2/2022,02:52:28pm,14,14,1.098681,3
115,609,6.8,Real-time SBAS Corrected,11/2/2022,02:53:48pm,11,11,1.864574,4
116,612,1.7,Real-time SBAS Corrected,11/2/2022,02:55:06pm,11,11,0.699371,5
117,615,1.3,Uncorrected,11/2/2022,02:56:44pm,32,32,0.602462,6
118,616,1.3,Uncorrected,11/2/2022,02:59:04pm,12,12,0.742992,7
119,617,1.9,Uncorrected,11/2/2022,03:00:31pm,70,70,2.466865,8
120,631,1.3,Real-time SBAS Corrected,11/2/2022,03:05:30pm,12,12,0.374335,9
121,630,1.3,Real-time SBAS Corrected,11/2/2022,03:06:36pm,12,12,1.808703,10
122,629,1.5,Real-time SBAS Corrected,11/2/2022,03:09:50pm,11,11,0.394903,11
123,628,1.5,Real-time SBAS Corrected,11/2/2022,03:11:24pm,24,24,1.238645,12
124,626,1.2,Real-time SBAS Corrected,11/2/2022,03:16:29pm,11,11,0.535263,13
125,625,1.1,Real-time SBAS Corrected,11/2/2022,03:17:33pm,12,12,0.626197,14
126,624,1.4,Real-time SBAS Corrected,11/2/2022,03:18:42pm,11,11,0.330184,15
127,618,1.6,Real-time SBAS Corrected,11/2/2022,03:19:51pm,15,15,1.026662,16
128,619,1.3,Real-time SBAS Corrected,11/2/2022,03:21:29pm,10,10,0.731445,17
129,621,1.9,Real-time SBAS Corrected,11/2/2022,03:23:20pm,14,14,0.52522,18
130,622,1.4,Real-time SBAS Corrected,11/2/2022,03:24:36pm,11,11,0.342754,19
131,623,1.6,Real-time SBAS Corrected,11/2/2022,03:25:34pm,12,12,0.980743,20
132,627,1.6,Real-time SBAS Corrected,11/2/2022,03:27:18pm,13,13,0.613019,21
133,634,1.6,Real-time SBAS Corrected,11/2/2022,03:28:23pm,13,13,0.375334,22
134,635,1.7,Real-time SBAS Corrected,11/2/2022,03:29:45pm,14,14,0.507895,23
135,636,1.5,Real-time SBAS Corrected,11/2/2022,03:30:50pm,13,13,1.429009,24
136,633,1.4,Real-time SBAS Corrected,11/2/2022,03:32:17pm,14,14,0.589515,25
137,632,1.3,Real-time SBAS Corrected,11/2/2022,03:35:24pm,10,10,0.571721,26
138,637,1.5,Real-time SBAS Corrected,11/2/2022,03:36:26pm,15,15,0.620234,27
139,639,1.3,Real-time SBAS Corrected,11/2/2022,03:37:41pm,10,10,0.958121,28
140,9999,1.6,Real-time SBAS Corrected,11/2/2022,03:39:11pm,11,11,0.787748,29
141,640,1.7,Real-time SBAS Corrected,11/2/2022,03:40:16pm,11,11,0.833025,30
142,641,1.3,Real-time SBAS Corrected,11/2/2022,03:41:49pm,12,12,0.844168,31
143,642,1.4,Real-time SBAS Corrected,11/2/2022,03:43:03pm,10,10,0.43207,32
144,643,2.2,Real-time SBAS Corrected,11/2/2022,03:44:17pm,51,51,1.487977,33
145,650,1.4,Real-time SBAS Corrected,11/2/2022,03:47:48pm,13,13,0.63152,34
146,644,1.4,Real-time SBAS Corrected,11/2/2022,03:50:00pm,14,14,0.705468,35
147,645,1.2,Real-time SBAS Corrected,11/2/2022,03:51:33pm,10,10,0.614515,36
148,648,1.3,Real-time SBAS Corrected,11/2/2022,03:52:46pm,12,12,2.257326,37
149,647,1.3,Real-time SBAS Corrected,11/2/2022,03:53:52pm,11,11,0.727343,38
150,646,1.2,Real-time SBAS Corrected,11/2/2022,03:55:14pm,10,10,0.402375,39
151,651,1.8,Uncorrected,11/2/2022,03:56:15pm,72,72,0.863857,40
152,688,1.5,Real-time SBAS Corrected,11/2/2022,04:01:38pm,15,15,1.967781,41
153,9999,1.7,Real-time SBAS Corrected,11/2/2022,04:02:59pm,11,11,0.417404,42
154,689,1.3,Real-time SBAS Corrected,11/2/2022,04:06:00pm,10,10,0.727731,43
155,687,1.2,Real-time SBAS Corrected,11/2/2022,04:07:04pm,13,13,0.213079,44
156,686,1.4,Real-time SBAS Corrected,11/2/2022,04:08:42pm,11,11,0.598436,45
157,684,1.6,Uncorrected,11/2/2022,04:09:59pm,37,37,0.469271,46
158,685,1.6,Uncorrected,11/2/2022,04:12:21pm,32,32,1.63338,47
159,692,1.4,Real-time SBAS Corrected,11/2/2022,04:14:35pm,13,13,0.904245,48
160,693,1.4,Real-time SBAS Corrected,11/2/2022,04:15:24pm,13,13,0.534811,49
161,691,1.3,Real-time SBAS Corrected,11/2/2022,04:17:17pm,13,13,0.69037,50
162,710,1.5,Real-time SBAS Corrected,11/2/2022,04:18:56pm,10,10,1.154345,51
163,711,1.5,Real-time SBAS Corrected,11/2/2022,04:20:24pm,15,15,2.519654,52
164,712,1.4,Real-time SBAS Corrected,11/2/2022,04:21:40pm,13,13,1.696024,53
165,720,1.3,Real-time SBAS Corrected,11/2/2022,04:22:45pm,13,13,1.006323,54
166,719,1.2,Real-time SBAS Corrected,11/2/2022,04:23:59pm,10,10,0.79751,55
167,709,1.4,Real-time SBAS Corrected,11/2/2022,04:24:54pm,10,10,0.362853,56
168,708,1.3,Real-time SBAS Corrected,11/2/2022,04:25:31pm,11,11,0.147242,57
169,704,1.2,Real-time SBAS Corrected,11/2/2022,04:26:54pm,11,11,0.214197,58
170,705,1.4,Real-time SBAS Corrected,11/2/2022,04:27:41pm,10,10,0.986157,59
171,707,1.2,Real-time SBAS Corrected,11/2/2022,04:29:22pm,12,12,0.501492,60
172,706,1.4,Real-time SBAS Corrected,11/2/2022,04:30:45pm,15,15,0.817232,61
173,717,1.1,Real-time SBAS Corrected,11/2/2022,04:32:13pm,12,12,0.356466,62
174,718,1.2,Real-time SBAS Corrected,11/2/2022,04:33:04pm,12,12,0.283488,63
175,714,1,Real-time SBAS Corrected,11/2/2022,04:34:11pm,10,10,0.721903,64
176,715,1.7,Real-time SBAS Corrected,11/2/2022,04:35:24pm,10,10,0.893112,65
177,718,1.3,Real-time SBAS Corrected,11/2/2022,04:36:12pm,11,11,0.310211,66
178,733,1.2,Real-time SBAS Corrected,11/2/2022,04:37:16pm,12,12,0.485042,67
179,732,1.3,Real-time SBAS Corrected,11/2/2022,04:38:00pm,11,11,0.634303,68
180,731,1.3,Real-time SBAS Corrected,11/2/2022,04:38:54pm,11,11,0.193717,69
181,730,1.3,Real-time SBAS Corrected,11/2/2022,04:39:55pm,17,17,0.676843,70
182,729,1.4,Real-time SBAS Corrected,11/2/2022,04:41:35pm,10,10,0.749043,71
183,728,1.4,Real-time SBAS Corrected,11/2/2022,04:42:31pm,11,11,0.128098,72
184,727,1.3,Real-time SBAS Corrected,11/2/2022,04:43:39pm,10,10,0.738531,73
185,726,1.3,Real-time SBAS Corrected,11/2/2022,04:44:34pm,10,10,1.172699,74
186,725,1.4,Real-time SBAS Corrected,11/2/2022,04:45:29pm,12,12,1.416502,75
187,724,1.4,Real-time SBAS Corrected,11/2/2022,04:46:19pm,10,10,0.481494,76
188,723,1.3,Real-time SBAS Corrected,11/2/2022,04:47:10pm,11,11,0.625616,77
189,722,1.6,Real-time SBAS Corrected,11/2/2022,04:48:03pm,12,12,0.760779,78
190,721,1.4,Real-time SBAS Corrected,11/2/2022,04:49:00pm,10,10,0.261819,79
191,694,2.2,Real-time SBAS Corrected,11/2/2022,04:51:36pm,12,12,2.098272,80
192,695,1.5,Real-time SBAS Corrected,11/2/2022,04:52:39pm,16,16,0.967373,81
193,696,1.4,Real-time SBAS Corrected,11/2/2022,04:53:57pm,10,10,0.330066,82
194,697,1.6,Real-time SBAS Corrected,11/2/2022,04:54:55pm,27,27,0.532433,83
195,699,1.5,Real-time SBAS Corrected,11/2/2022,04:57:18pm,15,15,0.771465,84
196,9999,1.4,Real-time SBAS Corrected,11/2/2022,04:59:14pm,16,16,0.608437,85
197,737,1.7,Real-time SBAS Corrected,11/2/2022,05:00:54pm,14,14,0.290487,86
198,736,1.5,Real-time SBAS Corrected,11/2/2022,05:01:54pm,11,11,0.45965,87
199,735,2.1,Real-time SBAS Corrected,11/2/2022,05:03:03pm,14,14,0.192424,88
200,734,1.6,Real-time SBAS Corrected,11/2/2022,05:04:22pm,10,10,0.15187,89
201,698,1.8,Real-time SBAS Corrected,11/2/2022,05:05:42pm,28,28,1.097696,90
202,700,1.3,Real-time SBAS Corrected,11/2/2022,05:08:12pm,11,11,0.228172,91
203,711,1.9,Uncorrected,11/2/2022,05:09:17pm,15,15,1.974493,92
204,702,3.8,Uncorrected,11/2/2022,05:10:57pm,39,39,4.120819,93
205,782,1.5,Uncorrected,11/2/2022,05:13:26pm,11,11,0.56382,94
206,783,1.5,Real-time SBAS Corrected,11/2/2022,05:14:56pm,11,11,0.488357,95
207,763,1.5,Real-time SBAS Corrected,11/2/2022,05:15:51pm,11,11,0.311897,96
208,789,1.8,Real-time SBAS Corrected,11/2/2022,05:17:02pm,10,10,0.554617,97
209,788,1.5,Real-time SBAS Corrected,11/2/2022,05:18:09pm,10,10,0.527689,98
210,762,2.5,Real-time SBAS Corrected,11/2/2022,05:19:04pm,14,14,0.633238,99
211,761,2,Uncorrected,11/2/2022,05:20:17pm,18,18,0.928767,100
212,785,1.6,Real-time SBAS Corrected,11/2/2022,05:21:53pm,15,15,0.638422,101
213,775,1.7,Real-time SBAS Corrected,11/2/2022,05:23:20pm,51,51,0.816145,102
214,774,1.6,Real-time SBAS Corrected,11/2/2022,05:26:31pm,12,12,0.545613,103
215,772,1.8,Real-time SBAS Corrected,11/2/2022,05:27:58pm,11,11,0.882065,104
216,777,1.3,Real-time SBAS Corrected,11/2/2022,05:30:41pm,11,11,0.565288,105
217,771,1.7,Real-time SBAS Corrected,11/2/2022,05:31:45pm,17,17,0.555159,106
218,780,1.7,Real-time SBAS Corrected,11/2/2022,05:34:07pm,12,12,0.384361,107
219,779,1.9,Real-time SBAS Corrected,11/2/2022,05:35:01pm,21,21,0.314133,108
220,778,1.7,Real-time SBAS Corrected,11/2/2022,05:36:38pm,10,10,0.252538,109
221,781,1.6,Real-time SBAS Corrected,11/2/2022,05:38:16pm,22,22,0.933985,110
222,776,1.5,Real-time SBAS Corrected,11/2/2022,05:39:55pm,20,20,0.52071,111
223,786,1.2,Real-time SBAS Corrected,11/2/2022,05:42:42pm,10,10,0.502233,112
224,787,1.2,Real-time SBAS Corrected,11/2/2022,05:44:30pm,12,12,0.300915,113
225,790,1.5,Real-time SBAS Corrected,11/2/2022,05:45:50pm,21,21,1.807864,114
226,760,1.4,Real-time SBAS Corrected,11/2/2022,05:47:43pm,10,10,0.346116,115
227,791,1.5,Real-time SBAS Corrected,11/2/2022,05:48:48pm,10,10,1.805537,116
228,792,1.3,Real-time SBAS Corrected,11/2/2022,05:51:46pm,10,10,0.417927,117
229,793,1.1,Real-time SBAS Corrected,11/2/2022,05:53:59pm,10,10,0.414641,118
230,796,1.4,Real-time SBAS Corrected,11/3/2022,11:34:26am,11,11,0.586572,1
231,797,1.6,Real-time SBAS Corrected,11/3/2022,11:36:02am,14,14,0.52274,2
232,795,1.7,Real-time SBAS Corrected,11/3/2022,11:37:22am,11,11,1.081531,3
233,794,1.3,Real-time SBAS Corrected,11/3/2022,11:39:04am,12,12,0.905415,4
234,813,1.2,Real-time SBAS Corrected,11/3/2022,11:41:29am,16,16,0.306252,5
235,812,1.4,Real-time SBAS Corrected,11/3/2022,11:43:28am,12,12,0.370113,6
236,993,1.2,Real-time SBAS Corrected,11/3/2022,11:47:27am,11,11,0.462232,7
237,802,1.2,Real-time SBAS Corrected,11/3/2022,11:49:25am,16,16,1.207656,8
238,801,1.3,Real-time SBAS Corrected,11/3/2022,11:51:21am,11,11,0.609061,9
239,764,1.5,Uncorrected,11/3/2022,11:52:35am,36,36,0.899447,10
240,765,1.4,Uncorrected,11/3/2022,11:54:54am,48,48,4.573366,11
241,766,1.4,Uncorrected,11/3/2022,11:58:10am,30,30,2.319847,12
242,767,1.3,Uncorrected,11/3/2022,11:59:59am,32,32,1.533656,13
243,809,1.1,Real-time SBAS Corrected,11/3/2022,12:02:12pm,14,14,2.210606,14
244,810,1.2,Real-time SBAS Corrected,11/3/2022,12:04:09pm,14,14,0.793832,15
245,803,1.2,Real-time SBAS Corrected,11/3/2022,12:05:50pm,10,10,0.432661,16
246,804,1.1,Real-time SBAS Corrected,11/3/2022,12:06:48pm,14,14,0.987669,17
247,803,1.1,Real-time SBAS Corrected,11/3/2022,12:08:45pm,18,18,0.913647,18
248,807,1.2,Real-time SBAS Corrected,11/3/2022,12:10:08pm,17,17,0.559212,19
249,768,1.6,Uncorrected,11/3/2022,12:12:09pm,25,25,1.203604,20
250,806,1.2,Real-time SBAS Corrected,11/3/2022,12:14:43pm,10,10,0.729146,21
251,805,1.4,Real-time SBAS Corrected,11/3/2022,12:16:30pm,15,15,0.92776,22
252,816,1.4,Real-time SBAS Corrected,11/3/2022,12:19:58pm,18,18,0.41037,23
253,814,1.1,Real-time SBAS Corrected,11/3/2022,12:21:27pm,11,11,1.089789,24
254,815,1.5,Real-time SBAS Corrected,11/3/2022,12:24:12pm,12,12,0.652737,25
255,820,1.4,Real-time SBAS Corrected,11/3/2022,12:25:50pm,10,10,2.513838,26
256,817,1.5,Real-time SBAS Corrected,11/3/2022,12:27:30pm,29,29,0.885365,27
257,992,1.1,Real-time SBAS Corrected,11/3/2022,12:29:41pm,21,21,0.40379,28
258,991,1.2,Real-time SBAS Corrected,11/3/2022,12:31:50pm,17,17,2.104607,29
259,854,1.3,Uncorrected,11/3/2022,12:33:32pm,15,15,0.564195,30
260,846,1.2,Real-time SBAS Corrected,11/3/2022,12:37:04pm,11,11,0.650134,31
261,845,1.4,Real-time SBAS Corrected,11/3/2022,12:38:22pm,11,11,0.208872,32
262,847,1.1,Real-time SBAS Corrected,11/3/2022,12:40:32pm,11,11,0.394233,33
263,844,1.4,Real-time SBAS Corrected,11/3/2022,12:41:42pm,14,14,0.594941,34
264,843,1.2,Real-time SBAS Corrected,11/3/2022,12:42:55pm,11,11,0.434261,35
265,851,1.5,Real-time SBAS Corrected,11/3/2022,12:43:59pm,18,18,0.671833,36
266,850,1.3,Real-time SBAS Corrected,11/3/2022,12:45:10pm,13,13,0.951898,37
267,849,1.5,Uncorrected,11/3/2022,12:46:55pm,17,17,0.987699,38
268,848,2,Uncorrected,11/3/2022,12:48:28pm,13,13,0.524434,39
269,9999,1.1,Real-time SBAS Corrected,11/3/2022,12:49:42pm,10,10,0.392004,40
270,308,1.6,Real-time SBAS Corrected,11/6/2022,11:45:09am,14,14,0.422632,1
271,307,1.9,Real-time SBAS Corrected,11/6/2022,11:46:54am,34,34,1.763716,2
272,306,1.6,Real-time SBAS Corrected,11/6/2022,11:49:24am,21,21,3.137513,3
273,305,1.5,Real-time SBAS Corrected,11/6/2022,11:50:45am,14,14,2.229226,4
274,304,1.4,Real-time SBAS Corrected,11/6/2022,11:52:04am,17,17,0.966384,5
275,303,1.5,Real-time SBAS Corrected,11/6/2022,11:53:07am,17,17,0.646457,6
276,302,2.1,Real-time SBAS Corrected,11/6/2022,11:54:20am,16,16,0.772713,7
277,301,1.9,Real-time SBAS Corrected,11/6/2022,11:55:52am,14,14,1.023767,8
278,300,1.5,Real-time SBAS Corrected,11/6/2022,11:57:43am,12,12,1.0758,9
279,299,1.3,Real-time SBAS Corrected,11/6/2022,11:58:33am,15,15,1.047762,10
280,290,1.5,Real-time SBAS Corrected,11/6/2022,11:59:43am,12,12,0.552422,11
281,291,1.4,Real-time SBAS Corrected,11/6/2022,12:00:56pm,20,20,0.954105,12
282,9999,1.2,Real-time SBAS Corrected,11/6/2022,12:02:23pm,17,17,0.891345,13
283,288,1.4,Real-time SBAS Corrected,11/6/2022,12:03:35pm,12,12,2.783232,14
284,292,1.2,Real-time SBAS Corrected,11/6/2022,12:04:46pm,14,14,0.345161,15
285,285,1.6,Real-time SBAS Corrected,11/6/2022,12:06:24pm,11,11,0.375186,16
286,284,1.4,Real-time SBAS Corrected,11/6/2022,12:07:45pm,15,15,0.298995,17
287,286,1.2,Real-time SBAS Corrected,11/6/2022,12:09:24pm,13,13,0.968918,18
288,287,1.1,Real-time SBAS Corrected,11/6/2022,12:10:33pm,10,10,0.601125,19
289,294,1.2,Real-time SBAS Corrected,11/6/2022,12:11:17pm,18,18,1.160121,20
290,293,1.1,Real-time SBAS Corrected,11/6/2022,12:12:30pm,11,11,1.506994,21
291,281,1.2,Real-time SBAS Corrected,11/6/2022,12:13:56pm,11,11,0.55631,22
292,290,1.4,Real-time SBAS Corrected,11/6/2022,12:15:05pm,13,13,0.599288,23
293,279,1.1,Real-time SBAS Corrected,11/6/2022,12:17:21pm,10,10,0.534247,24
294,283,1.6,Real-time SBAS Corrected,11/6/2022,12:18:21pm,12,12,0.645408,25
295,282,1.2,Real-time SBAS Corrected,11/6/2022,12:19:15pm,15,15,0.735633,26
296,278,1.3,Real-time SBAS Corrected,11/6/2022,12:20:34pm,18,18,1.086077,27
297,276,1.2,Real-time SBAS Corrected,11/6/2022,12:21:47pm,19,19,0.395617,28
