Tag_Number,Hazard_Rat,DBH_2022,Notes,Max_PDOP,Corr_Type,GPS_Date,GPS_Time,Feat_Name,Datafile,Unfilt_Pos,Filt_Pos,Data_Dicti,Std_Dev,Point_ID,layer,path,TagNumber,Species Co,LatinName,Species _1,DBH_2019,Azimuth,Dist to Bu,Buil Vinta,Sun,Hazard
"1096",Healthy,34.7,,1.4,Real-time SBAS Corrected,2022-09-28,11:18:23am,Tagged_T,KH-928-FAB.SSF,"19","19",K Campus Trees,0.301117,"11",CampusTrees-928-FAB,C:\Users\girdler\Documents\GIS stuff\ENVS490 Data\CampusMapData\CampusTrees-928-FAB.shp,"1096",AEGL,Aesculus glabra,Ohio Buckeye,34.100000000000001,"270","21",,Sun,"0"
"1135",Some distress,43.6,spongy moth nesting,1.4,Real-time SBAS Corrected,2022-09-28,11:22:36am,Tagged_T,KH-928-FAB.SSF,"17","17",K Campus Trees,0.449951,"12",CampusTrees-928-FAB,C:\Users\girdler\Documents\GIS stuff\ENVS490 Data\CampusMapData\CampusTrees-928-FAB.shp,"1135",ACPL,Acer platanoides,Norway Maple,42.100000000000001,"180","21",,Partial,"0"
"9999",Some distress,50.1,"fab sculpt front; base rot",1.5,Real-time SBAS Corrected,2022-09-28,11:25:10am,Tagged_T,KH-928-FAB.SSF,"17","17",K Campus Trees,0.324687,"13",CampusTrees-928-FAB,C:\Users\girdler\Documents\GIS stuff\ENVS490 Data\CampusMapData\CampusTrees-928-FAB.shp,,,,,,,,,,
"9999",Healthy,35.4,"acadmy st, fab side stair",1.2,Real-time SBAS Corrected,2022-09-28,11:27:25am,Tagged_T,KH-928-FAB.SSF,"17","17",K Campus Trees,0.736489,"14",CampusTrees-928-FAB,C:\Users\girdler\Documents\GIS stuff\ENVS490 Data\CampusMapData\CampusTrees-928-FAB.shp,,,,,,,,,,
"1097",Healthy,60.1,pull tag out,1.3,Uncorrected,2022-09-28,11:29:36am,Tagged_T,KH-928-FAB.SSF,"14","14",K Campus Trees,0.492826,"15",CampusTrees-928-FAB,C:\Users\girdler\Documents\GIS stuff\ENVS490 Data\CampusMapData\CampusTrees-928-FAB.shp,"1097",QUAL,Quercus alba,White Oak,54.000000000000000,"180","10",1950-1980,Sun,"0"
"1099",Some distress,23.7,base rot,1.1,Real-time SBAS Corrected,2022-09-28,11:31:08am,Tagged_T,KH-928-FAB.SSF,"28","28",K Campus Trees,0.223669,"16",CampusTrees-928-FAB,C:\Users\girdler\Documents\GIS stuff\ENVS490 Data\CampusMapData\CampusTrees-928-FAB.shp,"1099",MA35,Malus spp.,Crab Apple,50.700000000000003,"180","10",1950-1980,Partial,"1"
"1098",Healthy,36.9,15.3 9.8 11.8,1.6,Real-time SBAS Corrected,2022-09-28,11:34:07am,Tagged_T,KH-928-FAB.SSF,"25","25",K Campus Trees,0.581243,"17",CampusTrees-928-FAB,C:\Users\girdler\Documents\GIS stuff\ENVS490 Data\CampusMapData\CampusTrees-928-FAB.shp,"1098",CRDO,Crataegus douglasii,Black Hawthorne,36.899999999999999,"180","4",1950-1980,Partial,"0"
"1100",Some distress,31.1,16.2 8.6 6.3,1.3,Real-time SBAS Corrected,2022-09-28,11:36:58am,Tagged_T,KH-928-FAB.SSF,"33","33",K Campus Trees,0.482405,"18",CampusTrees-928-FAB,C:\Users\girdler\Documents\GIS stuff\ENVS490 Data\CampusMapData\CampusTrees-928-FAB.shp,"1100",MA36,Malus spp.,Crab Apple,16.000000000000000,"180","10",1950-1980,Partial,"1"
"1101",Healthy,48.7,20 28.7,1.5,Real-time SBAS Corrected,2022-09-28,11:39:17am,Tagged_T,KH-928-FAB.SSF,"24","24",K Campus Trees,0.426013,"19",CampusTrees-928-FAB,C:\Users\girdler\Documents\GIS stuff\ENVS490 Data\CampusMapData\CampusTrees-928-FAB.shp,"1101",MA37,Malus spp.,Crab Apple,48.399999999999999,"180","10",1950-1980,Partial,"1"
"1134",Some distress,52.9,,3.3,Real-time SBAS Corrected,2022-09-28,11:41:38am,Tagged_T,KH-928-FAB.SSF,"27","27",K Campus Trees,1.426646,"20",CampusTrees-928-FAB,C:\Users\girdler\Documents\GIS stuff\ENVS490 Data\CampusMapData\CampusTrees-928-FAB.shp,"1134",ACSA6,Acer saccharum,Sugar Maple,53.000000000000000,"180","10",1950-1980,Partial,"0"
"1127",Healthy,68.1,,1.4,Real-time SBAS Corrected,2022-09-28,11:44:13am,Tagged_T,KH-928-FAB.SSF,"10","10",K Campus Trees,0.127048,"21",CampusTrees-928-FAB,C:\Users\girdler\Documents\GIS stuff\ENVS490 Data\CampusMapData\CampusTrees-928-FAB.shp,"1127",ACSA5,Acer saccharum,Sugar Maple,67.700000000000003,"180","10",1950-1980,Partial,"0"
"1126",Healthy,29.8,20.5 9.3,1.3,Real-time SBAS Corrected,2022-09-28,11:47:21am,Tagged_T,KH-928-FAB.SSF,"17","17",K Campus Trees,0.518679,"22",CampusTrees-928-FAB,C:\Users\girdler\Documents\GIS stuff\ENVS490 Data\CampusMapData\CampusTrees-928-FAB.shp,"1126",PRSE17,Prunus serotina,Black Cherry,18.300000000000001,"90","10",1950-1980,Partial,"0"
"1133",Healthy,33.6,,1.1,Real-time SBAS Corrected,2022-09-28,11:49:35am,Tagged_T,KH-928-FAB.SSF,"22","22",K Campus Trees,0.547128,"23",CampusTrees-928-FAB,C:\Users\girdler\Documents\GIS stuff\ENVS490 Data\CampusMapData\CampusTrees-928-FAB.shp,"1133",ROPS,Robinia pseudoacacia,Black Locust,29.000000000000000,"270","21",,Partial,"0"
"1131",Extreme distress,67.6,,1.6,Real-time SBAS Corrected,2022-09-28,11:52:33am,Tagged_T,KH-928-FAB.SSF,"14","14",K Campus Trees,0.608347,"24",CampusTrees-928-FAB,C:\Users\girdler\Documents\GIS stuff\ENVS490 Data\CampusMapData\CampusTrees-928-FAB.shp,"1131",FAGR,Fagus grandifolia,American Beech,66.000000000000000,"270","15",Before 1950,Partial,"0"
"1132",Healthy,57.0,,1.1,Real-time SBAS Corrected,2022-09-28,11:55:10am,Tagged_T,KH-928-FAB.SSF,"12","12",K Campus Trees,0.743563,"25",CampusTrees-928-FAB,C:\Users\girdler\Documents\GIS stuff\ENVS490 Data\CampusMapData\CampusTrees-928-FAB.shp,"1132",ROPS,Robinia pseudoacacia,Black Locust,56.399999999999999,"270","15",Before 1950,Partial,"0"
"1130",Healthy,28.9,,1.3,Real-time SBAS Corrected,2022-09-28,11:57:14am,Tagged_T,KH-928-FAB.SSF,"15","15",K Campus Trees,0.149338,"26",CampusTrees-928-FAB,C:\Users\girdler\Documents\GIS stuff\ENVS490 Data\CampusMapData\CampusTrees-928-FAB.shp,"1130",ACPL,Acer platanoides,Norway Maple,28.399999999999999,"180","21",,Sun,"0"
"1085",Healthy,29.5,,1.8,Uncorrected,2022-09-23,12:55:21pm,Tagged_T,BG_KH_FRI23.SSF,"14","14",K Campus Trees,0.207174,"1",CampusTrees-BG_KH_FRI23,C:\Users\girdler\Documents\GIS stuff\ENVS490 Data\CampusMapData\CampusTrees-BG_KH_FRI23.shp,"1085",PYCA,Pyrus calleryana,Callery Pear,27.100000000000001,"270","4",1950-1980,Sun,"0"
"1084",Healthy,21.8,,1.4,Real-time SBAS Corrected,2022-09-23,01:00:08pm,Tagged_T,BG_KH_FRI23.SSF,"19","19",K Campus Trees,0.719921,"2",CampusTrees-BG_KH_FRI23,C:\Users\girdler\Documents\GIS stuff\ENVS490 Data\CampusMapData\CampusTrees-BG_KH_FRI23.shp,"1084",CRDO,Crataegus douglasii,Black Hawthorne,27.300000000000001,"360","10",1950-1980,Partial,"0"
"1083",Extreme distress,12.6,,1.3,Real-time SBAS Corrected,2022-09-23,01:06:36pm,Tagged_T,BG_KH_FRI23.SSF,"33","33",K Campus Trees,0.482651,"3",CampusTrees-BG_KH_FRI23,C:\Users\girdler\Documents\GIS stuff\ENVS490 Data\CampusMapData\CampusTrees-BG_KH_FRI23.shp,"1083",CRDO,Crataegus douglasii,Black Hawthorne,20.399999999999999,"360","10",1950-1980,Partial,"0"
"1080",Healthy,27.7,,1.3,Real-time SBAS Corrected,2022-09-23,01:08:52pm,Tagged_T,BG_KH_FRI23.SSF,"25","25",K Campus Trees,0.387030,"4",CampusTrees-BG_KH_FRI23,C:\Users\girdler\Documents\GIS stuff\ENVS490 Data\CampusMapData\CampusTrees-BG_KH_FRI23.shp,"1080",PIST,Pinus strobus,Eastern White Pine,25.699999999999999,"360","10",1950-1980,Partial,"0"
"1081",Healthy,21.6,,1.2,Real-time SBAS Corrected,2022-09-23,01:10:26pm,Tagged_T,BG_KH_FRI23.SSF,"23","23",K Campus Trees,0.597605,"5",CampusTrees-BG_KH_FRI23,C:\Users\girdler\Documents\GIS stuff\ENVS490 Data\CampusMapData\CampusTrees-BG_KH_FRI23.shp,"1081",PIST,Pinus strobus,Eastern White Pine,21.100000000000001,"360","10",1950-1980,Partial,"1"
"1079",Healthy,25.4,,1.1,Real-time SBAS Corrected,2022-09-23,01:11:52pm,Tagged_T,BG_KH_FRI23.SSF,"11","11",K Campus Trees,0.324718,"6",CampusTrees-BG_KH_FRI23,C:\Users\girdler\Documents\GIS stuff\ENVS490 Data\CampusMapData\CampusTrees-BG_KH_FRI23.shp,"1079",PIST,Pinus strobus,Eastern White Pine,24.600000000000001,"360","15",1950-1980,Partial,"1"
"1082",Healthy,27.9,,1.2,Real-time SBAS Corrected,2022-09-23,01:12:57pm,Tagged_T,BG_KH_FRI23.SSF,"10","10",K Campus Trees,0.397424,"7",CampusTrees-BG_KH_FRI23,C:\Users\girdler\Documents\GIS stuff\ENVS490 Data\CampusMapData\CampusTrees-BG_KH_FRI23.shp,"1082",PIST,Pinus strobus,Eastern White Pine,26.899999999999999,"360","10",1950-1980,Partial,"1"
"1078",Healthy,28.5,,1.1,Real-time SBAS Corrected,2022-09-23,01:13:54pm,Tagged_T,BG_KH_FRI23.SSF,"13","13",K Campus Trees,0.583209,"8",CampusTrees-BG_KH_FRI23,C:\Users\girdler\Documents\GIS stuff\ENVS490 Data\CampusMapData\CampusTrees-BG_KH_FRI23.shp,"1078",PIST,Pinus strobus,Eastern White Pine,27.000000000000000,"360","15",1950-1980,Partial,"0"
"1077",Healthy,23.4,,1.3,Real-time SBAS Corrected,2022-09-23,01:15:08pm,Tagged_T,BG_KH_FRI23.SSF,"19","19",K Campus Trees,0.945573,"9",CampusTrees-BG_KH_FRI23,C:\Users\girdler\Documents\GIS stuff\ENVS490 Data\CampusMapData\CampusTrees-BG_KH_FRI23.shp,"1077",PIST,Pinus strobus,Eastern White Pine,22.600000000000001,"360","15",1950-1980,Partial,"1"
"1076",Some distress,12.1,,1.2,Real-time SBAS Corrected,2022-09-23,01:16:32pm,Tagged_T,BG_KH_FRI23.SSF,"17","17",K Campus Trees,0.435705,"10",CampusTrees-BG_KH_FRI23,C:\Users\girdler\Documents\GIS stuff\ENVS490 Data\CampusMapData\CampusTrees-BG_KH_FRI23.shp,"1076",PIST,Pinus strobus,Eastern White Pine,12.000000000000000,"360","15",1950-1980,Partial,"0"
"1075",Healthy,26.4,,1.1,Real-time SBAS Corrected,2022-09-23,01:17:47pm,Tagged_T,BG_KH_FRI23.SSF,"10","10",K Campus Trees,0.342387,"11",CampusTrees-BG_KH_FRI23,C:\Users\girdler\Documents\GIS stuff\ENVS490 Data\CampusMapData\CampusTrees-BG_KH_FRI23.shp,"1075",PIST,Pinus strobus,Eastern White Pine,25.600000000000001,"360","15",1950-1980,Partial,"0"
"1002",Healthy,23.8,,1.2,Real-time SBAS Corrected,2022-09-23,01:20:00pm,Tagged_T,BG_KH_FRI23.SSF,"10","10",K Campus Trees,0.553643,"12",CampusTrees-BG_KH_FRI23,C:\Users\girdler\Documents\GIS stuff\ENVS490 Data\CampusMapData\CampusTrees-BG_KH_FRI23.shp,"1002",GLTR,Gleditsia triacanthos,Honeylocust,22.100000000000001,"180","10",After 1980,Partial,"0"
"1001",Healthy,20.9,,2.3,Real-time SBAS Corrected,2022-09-23,01:21:10pm,Tagged_T,BG_KH_FRI23.SSF,"25","25",K Campus Trees,0.827025,"13",CampusTrees-BG_KH_FRI23,C:\Users\girdler\Documents\GIS stuff\ENVS490 Data\CampusMapData\CampusTrees-BG_KH_FRI23.shp,"1001",PYCA,Pyrus calleryana,Callery Pear,18.600000000000001,"180","4",After 1980,Partial,"0"
"1003",Healthy,24.5,,1.3,Real-time SBAS Corrected,2022-09-23,01:22:49pm,Tagged_T,BG_KH_FRI23.SSF,"11","11",K Campus Trees,0.277631,"14",CampusTrees-BG_KH_FRI23,C:\Users\girdler\Documents\GIS stuff\ENVS490 Data\CampusMapData\CampusTrees-BG_KH_FRI23.shp,"1003",GLTR,Gleditsia triacanthos,Honeylocust,21.399999999999999,"180","10",After 1980,Partial,"0"
"1004",Healthy,26.6,,1.4,Real-time SBAS Corrected,2022-09-23,01:23:43pm,Tagged_T,BG_KH_FRI23.SSF,"15","15",K Campus Trees,0.464292,"15",CampusTrees-BG_KH_FRI23,C:\Users\girdler\Documents\GIS stuff\ENVS490 Data\CampusMapData\CampusTrees-BG_KH_FRI23.shp,"1004",GLTR,Gleditsia triacanthos,Honeylocust,24.699999999999999,"180","15",After 1980,Partial,"0"
"1005",Healthy,27.1,,1.3,Real-time SBAS Corrected,2022-09-23,01:24:58pm,Tagged_T,BG_KH_FRI23.SSF,"10","10",K Campus Trees,0.228223,"16",CampusTrees-BG_KH_FRI23,C:\Users\girdler\Documents\GIS stuff\ENVS490 Data\CampusMapData\CampusTrees-BG_KH_FRI23.shp,"1005",GLTR,Gleditsia triacanthos,Honeylocust,25.100000000000001,"180","15",After 1980,Partial,"0"
"1006",Healthy,32.8,,1.2,Real-time SBAS Corrected,2022-09-23,01:25:48pm,Tagged_T,BG_KH_FRI23.SSF,"13","13",K Campus Trees,0.486340,"17",CampusTrees-BG_KH_FRI23,C:\Users\girdler\Documents\GIS stuff\ENVS490 Data\CampusMapData\CampusTrees-BG_KH_FRI23.shp,"1006",GLTR,Gleditsia triacanthos,Honeylocust,28.699999999999999,"180","21",,Partial,"0"
"1007",Healthy,18.9,,2.2,Real-time SBAS Corrected,2022-09-23,01:30:08pm,Tagged_T,BG_KH_FRI23.SSF,"18","18",K Campus Trees,1.189426,"18",CampusTrees-BG_KH_FRI23,C:\Users\girdler\Documents\GIS stuff\ENVS490 Data\CampusMapData\CampusTrees-BG_KH_FRI23.shp,"1007",BEPA,Betula papyrifera,Paper Birch,18.500000000000000,"270","10",After 1980,Sun,"0"
"1008",Healthy,54.2,mult trunk 11.9 11.7 9.8 10.2 10.6,2.1,Real-time SBAS Corrected,2022-09-23,01:31:52pm,Tagged_T,BG_KH_FRI23.SSF,"68","68",K Campus Trees,0.857627,"19",CampusTrees-BG_KH_FRI23,C:\Users\girdler\Documents\GIS stuff\ENVS490 Data\CampusMapData\CampusTrees-BG_KH_FRI23.shp,"1008",MA30,Malus spp.,Crab Apple,45.399999999999999,"270","4",After 1980,Partial,"0"
"1011",Some distress,20.1,4.9 6.6 8.6 mult stem,2.1,Real-time SBAS Corrected,2022-09-23,01:41:16pm,Tagged_T,BG_KH_FRI23.SSF,"18","18",K Campus Trees,0.927124,"20",CampusTrees-BG_KH_FRI23,C:\Users\girdler\Documents\GIS stuff\ENVS490 Data\CampusMapData\CampusTrees-BG_KH_FRI23.shp,"1011",COKO,Cornus kousa,Kousa Dogwood,19.699999999999999,"270","4",After 1980,Partial,"0"
"1012",Some distress,18.3,,2.8,Real-time SBAS Corrected,2022-09-23,01:43:31pm,Tagged_T,BG_KH_FRI23.SSF,"13","13",K Campus Trees,1.423820,"21",CampusTrees-BG_KH_FRI23,C:\Users\girdler\Documents\GIS stuff\ENVS490 Data\CampusMapData\CampusTrees-BG_KH_FRI23.shp,"1012",PRSU,Prunus subhirtella,Weeping Cherry,14.300000000000001,"270","10",After 1980,Partial,"0"
"1013",Healthy,29.0,spongy moth egg cases,1.6,Real-time SBAS Corrected,2022-09-23,01:45:26pm,Tagged_T,BG_KH_FRI23.SSF,"11","11",K Campus Trees,0.320419,"22",CampusTrees-BG_KH_FRI23,C:\Users\girdler\Documents\GIS stuff\ENVS490 Data\CampusMapData\CampusTrees-BG_KH_FRI23.shp,"1013",FASY,Fagus sylvatica,European Beech,26.100000000000001,"270","10",After 1980,Sun,"0"
"1014",Healthy,74.1,6.6 7.6 8.7 11.8 18.5 8.4 12.5,2.1,Uncorrected,2022-09-23,01:48:11pm,Tagged_T,BG_KH_FRI23.SSF,"70","70",K Campus Trees,1.447520,"23",CampusTrees-BG_KH_FRI23,C:\Users\girdler\Documents\GIS stuff\ENVS490 Data\CampusMapData\CampusTrees-BG_KH_FRI23.shp,"1014",MA31,Malus spp.,Crab Apple,34.899999999999999,"360","21",,Sun,"0"
"1019",Healthy,24.3,10.4 15.5 8.4,1.3,Uncorrected,2022-09-23,01:57:27pm,Tagged_T,BG_KH_FRI23.SSF,"21","21",K Campus Trees,1.090368,"24",CampusTrees-BG_KH_FRI23,C:\Users\girdler\Documents\GIS stuff\ENVS490 Data\CampusMapData\CampusTrees-BG_KH_FRI23.shp,"1019",MA32,Malus spp.,Crab Apple,14.300000000000001,"360","21",,Sun,"0"
"9999",Healthy,116.0,63.5 52.5,1.1,Real-time SBAS Corrected,2022-10-20,04:37:12pm,Tagged_T,KHCALL1019-AFT.SSF,"40","40",K Campus Trees,1.053492,"1",CampusTrees-CALL1019-AFT,C:\Users\girdler\Documents\GIS stuff\ENVS490 Data\CampusMapData\CampusTrees-CALL1019-AFT.shp,,,,,,,,,,
"376",Healthy,25.0,,1.3,Real-time SBAS Corrected,2022-10-20,04:40:08pm,Tagged_T,KHCALL1019-AFT.SSF,"20","20",K Campus Trees,1.177197,"2",CampusTrees-CALL1019-AFT,C:\Users\girdler\Documents\GIS stuff\ENVS490 Data\CampusMapData\CampusTrees-CALL1019-AFT.shp,"376",ACPL,Acer platanoides,Norway Maple,25.000000000000000,"360","10",Before 1950,Partial,"0"
"375",Healthy,41.3,,1.1,Real-time SBAS Corrected,2022-10-20,04:42:45pm,Tagged_T,KHCALL1019-AFT.SSF,"13","13",K Campus Trees,1.181480,"3",CampusTrees-CALL1019-AFT,C:\Users\girdler\Documents\GIS stuff\ENVS490 Data\CampusMapData\CampusTrees-CALL1019-AFT.shp,"375",ACPL,Acer platanoides,Norway Maple,41.399999999999999,"360","10",Before 1950,Partial,"0"
"385",Healthy,70.7,,1.4,Real-time SBAS Corrected,2022-10-20,04:44:40pm,Tagged_T,KHCALL1019-AFT.SSF,"17","17",K Campus Trees,0.759953,"4",CampusTrees-CALL1019-AFT,C:\Users\girdler\Documents\GIS stuff\ENVS490 Data\CampusMapData\CampusTrees-CALL1019-AFT.shp,"385",PIAB,Picea abies,Norway Spruce,72.400000000000006,"90","4",Before 1950,Partial,"0"
"388",Healthy,8.8,,1.0,Real-time SBAS Corrected,2022-10-20,04:46:43pm,Tagged_T,KHCALL1019-AFT.SSF,"10","10",K Campus Trees,0.374034,"5",CampusTrees-CALL1019-AFT,C:\Users\girdler\Documents\GIS stuff\ENVS490 Data\CampusMapData\CampusTrees-CALL1019-AFT.shp,"388",QURU,Quercus rubra,Northern Red Oak,93.599999999999994,"90","15",Before 1950,Partial,"0"
"388",Healthy,92.8,,1.1,Real-time SBAS Corrected,2022-10-20,04:48:11pm,Tagged_T,KHCALL1019-AFT.SSF,"8","8",K Campus Trees,0.288316,"6",CampusTrees-CALL1019-AFT,C:\Users\girdler\Documents\GIS stuff\ENVS490 Data\CampusMapData\CampusTrees-CALL1019-AFT.shp,"388",QURU,Quercus rubra,Northern Red Oak,93.599999999999994,"90","15",Before 1950,Partial,"0"
"389",Healthy,61.2,,1.1,Real-time SBAS Corrected,2022-10-20,04:50:15pm,Tagged_T,KHCALL1019-AFT.SSF,"15","15",K Campus Trees,0.554828,"7",CampusTrees-CALL1019-AFT,C:\Users\girdler\Documents\GIS stuff\ENVS490 Data\CampusMapData\CampusTrees-CALL1019-AFT.shp,"389",PIAB,Picea abies,Norway Spruce,60.799999999999997,"90","15",Before 1950,Partial,"0"
"387",Healthy,34.5,6.7 5.8 3.7 3.4 3.9 6.8 5.0,1.1,Real-time SBAS Corrected,2022-10-20,04:52:15pm,Tagged_T,KHCALL1019-AFT.SSF,"34","34",K Campus Trees,2.210633,"8",CampusTrees-CALL1019-AFT,C:\Users\girdler\Documents\GIS stuff\ENVS490 Data\CampusMapData\CampusTrees-CALL1019-AFT.shp,"387",COKO,Cornus kousa,Kousa Dogwood,13.300000000000001,"90","4",Before 1950,Sun,"0"
"390",Healthy,43.3,,1.0,Real-time SBAS Corrected,2022-10-20,04:54:57pm,Tagged_T,KHCALL1019-AFT.SSF,"12","12",K Campus Trees,0.670408,"9",CampusTrees-CALL1019-AFT,C:\Users\girdler\Documents\GIS stuff\ENVS490 Data\CampusMapData\CampusTrees-CALL1019-AFT.shp,"390",PINI,Pinus nigra,Austrian Pine,42.700000000000003,"180","4",Before 1950,Sun,"1"
"360",Healthy,51.7,,1.2,Real-time SBAS Corrected,2022-10-20,04:56:50pm,Tagged_T,KHCALL1019-AFT.SSF,"15","15",K Campus Trees,0.315877,"10",CampusTrees-CALL1019-AFT,C:\Users\girdler\Documents\GIS stuff\ENVS490 Data\CampusMapData\CampusTrees-CALL1019-AFT.shp,"360",PIAB,Picea abies,Norway Spruce,50.600000000000001,"360","15",1950-1980,Partial,"0"
"357",Healthy,55.9,,1.4,Real-time SBAS Corrected,2022-10-20,04:58:27pm,Tagged_T,KHCALL1019-AFT.SSF,"15","15",K Campus Trees,0.680322,"11",CampusTrees-CALL1019-AFT,C:\Users\girdler\Documents\GIS stuff\ENVS490 Data\CampusMapData\CampusTrees-CALL1019-AFT.shp,"357",PIAB,Picea abies,Norway Spruce,54.600000000000001,"360","15",1950-1980,Partial,"0"
"356",Healthy,61.0,20.1 7.2 33.7,1.5,Real-time SBAS Corrected,2022-10-20,04:59:46pm,Tagged_T,KHCALL1019-AFT.SSF,"27","27",K Campus Trees,1.074980,"12",CampusTrees-CALL1019-AFT,C:\Users\girdler\Documents\GIS stuff\ENVS490 Data\CampusMapData\CampusTrees-CALL1019-AFT.shp,"356",TABA,Taxus baccata,English Yew,60.100000000000001,"360","15",1950-1980,Partial,"0"
"355",Healthy,43.8,,1.1,Real-time SBAS Corrected,2022-10-20,05:02:41pm,Tagged_T,KHCALL1019-AFT.SSF,"10","10",K Campus Trees,0.190987,"13",CampusTrees-CALL1019-AFT,C:\Users\girdler\Documents\GIS stuff\ENVS490 Data\CampusMapData\CampusTrees-CALL1019-AFT.shp,"355",PIAB,Picea abies,Norway Spruce,43.200000000000003,"360","15",1950-1980,Partial,"0"
"354",Healthy,19.1,,1.0,Real-time SBAS Corrected,2022-10-20,05:03:58pm,Tagged_T,KHCALL1019-AFT.SSF,"15","15",K Campus Trees,0.350282,"14",CampusTrees-CALL1019-AFT,C:\Users\girdler\Documents\GIS stuff\ENVS490 Data\CampusMapData\CampusTrees-CALL1019-AFT.shp,"354",PIAB,Picea abies,Norway Spruce,18.699999999999999,"360","15",1950-1980,Partial,"0"
